ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
farB,3003962,protein homolog model,Resistomes & Variants,Neisseria meningitidis,major facilitator superfamily (MFS) antibiotic efflux pump,antibacterial free fatty acids,antibiotic efflux
APH(6)-Ic,3002659,protein homolog model,CARD; Resistomes & Variants,Escherichia coli; Aeromonas caviae; Salmonella enterica,APH(6),aminoglycoside antibiotic,antibiotic inactivation
tet(V),3000181,protein homolog model,CARD,Mycolicibacterium smegmatis,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
AAC(6')-Iz,3002570,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
AQU-1,3002993,protein homolog model,CARD,Aeromonas dhakensis,AQU beta-lactamase,cephalosporin,antibiotic inactivation
tetB(46),3004033,protein homolog model,CARD,Streptococcus australis,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
TEM-231,3005262,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
PDC-62,3005133,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
OXA-569,3005793,protein homolog model,CARD,Ralstonia insidiosa,OXA beta-lactamase; OXA-22-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
PDC-125,3006501,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-140,3006517,protein homolog model,CARD; Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-160,3006539,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-250,3006629,protein homolog model,CARD; Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-344,3006714,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-42,3006789,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-455,3006822,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-1,3002497,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
MCR-2.7,3007287,protein homolog model,CARD,uncultured bacterium,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-2.6,3007288,protein homolog model,CARD,uncultured bacterium,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
CepA-29,3006224,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CepA beta-lactamase,cephalosporin,antibiotic inactivation
mexY,3003033,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
emeA,3003551,protein homolog model,CARD,Enterococcus faecalis,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics,antibiotic efflux
lsaA,3000300,protein homolog model,CARD; Resistomes & Variants,Enterococcus faecalis,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic,antibiotic target protection
hmrM,3003953,protein homolog model,CARD; Resistomes & Variants,Haemophilus influenzae,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
tet(X1),3005166,protein homolog model,CARD; Resistomes & Variants,Bacteroides thetaiotaomicron; Bacteroides caccae; Phocaeicola vulgatus; Bacteroides fragilis; Bacteroides ovatus; Parabacteroides distasonis; Phocaeicola dorei,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation
IreK,3007678,protein homolog model,CARD,Enterococcus faecalis,Serine/threonine kinases,cephalosporin,reduced permeability to antibiotic
aadS,3004683,protein homolog model,Resistomes & Variants,Chryseobacterium taklimakanense; Riemerella anatipestifer,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
CepA-44,3006225,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CepA beta-lactamase,cephalosporin,antibiotic inactivation
tet(K),3000178,protein homolog model,Resistomes & Variants,Enterococcus faecalis; Listeria innocua; Listeria monocytogenes; Pseudomonas aeruginosa; Shigella flexneri; Staphylococcus arlettae; Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus haemolyticus; Staphylococcus warneri; Staphylococcus capitis; Staphylococcus saprophyticus; Staphylococcus hominis; Staphylococcus equorum; Staphylococcus pasteuri; Staphylococcus pseudintermedius; Staphylococcus simulans; Streptococcus pneumoniae,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
AAC(3)-IId,3004623,protein homolog model,Resistomes & Variants,Escherichia coli; Morganella morganii,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
vanW gene in vanB cluster,3002964,protein homolog model,Resistomes & Variants,Staphylococcus warneri,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
vanR gene in vanA cluster,3002919,protein homolog model,Resistomes & Variants,Enterococcus faecium,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
ANT(6)-Ia,3002626,protein homolog model,Resistomes & Variants,Streptococcus suis,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
efrA,3003948,protein homolog model,Resistomes & Variants,Enterococcus faecalis,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic efflux
mepA,3000026,protein homolog model,Resistomes & Variants,Staphylococcus aureus,multidrug and toxic compound extrusion (MATE) transporter,glycylcycline; tetracycline antibiotic,antibiotic efflux
Klebsiella pneumoniae acrA,3004041,protein homolog model,CARD,Klebsiella pneumoniae,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
PDC-88,3004351,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-135,3006512,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-184,3006563,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-197,3006576,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-435,3006804,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
HelR,3007208,protein homolog model,CARD,Streptomyces venezuelae,helicase-like RNA polymerase protection protein,rifamycin antibiotic,antibiotic target protection
catB3,3002676,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
AxyX,3004143,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,antibiotic efflux
Mrx,3003839,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
PDC-20,3006579,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-41,3005157,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-5,3002502,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
TEM-215,3001392,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-230,3005261,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-129,3000993,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-198,3001057,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-122,3000984,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
fusD,3003731,protein homolog model,Resistomes & Variants,Staphylococcus saprophyticus,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection
ACT-65,3006260,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
OXA-22,3001417,protein homolog model,Resistomes & Variants,Ralstonia pickettii,OXA beta-lactamase; OXA-22-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
TaeA,3003986,protein homolog model,CARD,Paenibacillus sp.,ATP-binding cassette (ABC) antibiotic efflux pump,pleuromutilin antibiotic,antibiotic efflux
tetA(46),3004032,protein homolog model,CARD,Streptococcus australis,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
TEM-242,3005272,protein homolog model,CARD,Providencia stuartii,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
tcr3,3002893,protein homolog model,CARD,Kitasatospora aureofaciens,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
ceoB,3003010,protein homolog model,CARD,Burkholderia cepacia,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic efflux
facT,3001313,protein homolog model,CARD,Streptomyces sp.,major facilitator superfamily (MFS) antibiotic efflux pump,elfamycin antibiotic,antibiotic efflux
tet(41),3000569,protein homolog model,CARD; Resistomes & Variants,Serratia marcescens,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
tetA(58),3003980,protein homolog model,CARD,Paenibacillus sp.,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
SHV-216,3005215,protein homolog model,CARD,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
KBL-1,3007206,protein homolog model,CARD,Stenotrophomonas maltophilia,KBL beta-lactamase,penam,antibiotic inactivation
putative nickel/cobalt transporter,3007659,protein homolog model,CARD,Mycobacterium tuberculosis,metal transporters with antibiotic efflux,fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic,antibiotic efflux
TRU-1,3004450,protein homolog model,Resistomes & Variants,Aeromonas enteropelogenes,TRU beta-lactamase,cephalosporin; penam,antibiotic inactivation
SHV-5,3001064,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Enterobacter hormaechei; Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-1,3001059,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
AAC(6')-Ib-cr5,3005115,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'); AAC(6')-Ib-cr,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation
SHV-32,3001090,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-38,3001096,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-110,3001159,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-164,3001347,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-204,3005213,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-28,3001086,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-11,3001070,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-55,3001111,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-44,3001102,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-187,3003154,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-26,3001084,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-217,3005250,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
SHV-210,3005225,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,SHV beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation
golS,3000504,protein homolog model,Resistomes & Variants,Salmonella enterica,resistance-nodulation-cell division (RND) antibiotic efflux pump,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,antibiotic efflux
